pid,order,step,technique,task,size,trial,pAnswer,correctAnswer,startTime,endTime,completionTime,clicksLink,clicksNode,penDownTime
p1,A,S0,active,degree,n40,t2,7,7,2075614911,2075716916,102005,1,21,1748
p1,A,S1,active,reach,n20,t0,8,8,2076804488,2076829146,24658,1,8,2962
p1,A,S3,baseline,reach,n40,t1,12,13,2078458395,2078473658,15263,0,7,0
p1,A,S2,baseline,degree,n20,t2,3,3,2077542257,2077557772,15515,0,3,0
p1,A,S1,active,reach,n80,t1,21,21,2077321525,2077393376,71851,4,26,15339
p1,A,S2,baseline,degree,n80,t3,13,14,2077903342,2078010338,106996,0,40,0
p1,A,S3,baseline,reach,n80,t1,22,21,2078654522,2078684605,30083,1,19,0
p1,A,S2,baseline,degree,n40,t2,7,7,2077692854,2077729347,36493,0,12,0
p1,A,S3,baseline,reach,n20,t0,9,8,2078335698,2078363416,27718,0,15,0
p1,A,S1,active,reach,n40,t0,18,16,2076909896,2076984628,74732,1,16,16478
p1,A,S0,active,degree,n20,t1,4,4,2075170260,2075233492,63232,3,37,617
p1,A,S0,active,degree,n80,t2,16,16,2076472827,2076599713,126886,4,23,11986
p1,A,S1,active,reach,n80,t0,25,25,2077125190,2077183956,58766,0,15,19332
p1,A,S0,active,degree,n40,t3,8,8,2075720760,2075868424,147664,0,35,1687
p1,A,S1,active,reach,n20,t1,10,11,2076750594,2076783250,32656,1,8,5342
p1,A,S3,baseline,reach,n40,t2,14,15,2078413128,2078456740,43612,0,30,0
p1,A,S2,baseline,degree,n20,t1,4,4,2077505378,2077540707,35329,0,5,0
p1,A,S2,baseline,degree,n80,t0,19,19,2078011945,2078104873,92928,2,46,0
p1,A,S2,baseline,degree,n40,t1,9,9,2077730684,2077795310,64626,0,29,0
p1,A,S0,active,degree,n20,t0,5,5,2075362604,2075397847,35243,0,6,960
p1,A,S0,active,degree,n80,t3,14,14,2076346559,2076470301,123742,2,26,10951
p1,A,S3,baseline,reach,n20,t3,9,9,2078366042,2078400810,34768,0,18,0
p1,A,S1,active,reach,n40,t1,13,13,2077038550,2077072701,34151,0,7,10167
p1,A,S3,baseline,reach,n80,t2,28,30,2078686385,2078842612,156227,6,115,0
p1,A,S1,active,reach,n20,t2,6,7,2076862576,2076893055,30479,1,12,3626
p1,A,S3,baseline,reach,n40,t3,13,14,2078524834,2078545676,20842,1,11,0
p1,A,S2,baseline,degree,n20,t0,5,5,2077559127,2077586021,26894,0,12,0
p1,A,S1,active,reach,n80,t3,28,28,2077185729,2077238325,52596,2,7,17989
p1,A,S2,baseline,degree,n80,t1,13,13,2077844848,2077901648,56800,0,24,0
p1,A,S0,active,degree,n40,t0,9,9,2075510733,2075612665,101932,0,24,2001
p1,A,S3,baseline,reach,n20,t2,7,7,2078278472,2078290413,11941,0,4,0
p1,A,S2,baseline,degree,n40,t0,9,9,2077632588,2077691314,58726,1,17,0
p1,A,S0,active,degree,n20,t3,4,5,2075292082,2075348882,56800,0,12,746
p1,A,S0,active,degree,n80,t0,20,19,2075877634,2076130532,252898,2,42,27105
p1,A,S3,baseline,reach,n80,t3,27,28,2078844421,2078901187,56766,1,41,0
p1,A,S1,active,reach,n40,t2,15,15,2076995899,2077036498,40599,0,6,12328
p1,A,S3,baseline,reach,n40,t0,16,16,2078475818,2078521512,45694,0,19,0
p1,A,S2,baseline,degree,n20,t3,6,5,2077587349,2077623580,36231,0,11,0
p1,A,S1,active,reach,n80,t2,30,30,2077240020,2077319772,79752,0,26,21000
p1,A,S2,baseline,degree,n80,t2,16,16,2078106954,2078196868,89914,3,38,0
p1,A,S0,active,degree,n40,t1,7,9,2075414725,2075497803,83078,0,31,1569
p1,A,S1,active,reach,n20,t3,9,9,2076830686,2076861115,30429,2,8,4614
p1,A,S3,baseline,reach,n80,t0,25,25,2078552059,2078652722,100663,4,95,0
p1,A,S3,baseline,reach,n20,t1,12,11,2078291924,2078333840,41916,0,20,0
p1,A,S1,active,reach,n40,t3,14,14,2077074240,2077118373,44133,1,14,11829
p1,A,S2,baseline,degree,n40,t3,7,8,2077796733,2077836617,39884,0,23,0
p1,A,S0,active,degree,n20,t2,3,3,2075238429,2075289321,50892,1,13,452
p1,A,S0,active,degree,n80,t1,13,13,2076139394,2076344283,204889,1,34,10818
p2,B,S0,active,reach,n40,t1,13,13,-2136932146,-2136901107,31039,0,7,3861
p2,B,S2,baseline,reach,n20,t1,10,11,-2135389437,-2135366726,22711,5,2,0
p2,B,S2,baseline,reach,n80,t2,36,30,-2135187895,-2135128711,59184,0,18,0
p2,B,S3,baseline,degree,n20,t1,4,4,-2134953379,-2134937263,16116,0,3,0
p2,B,S1,active,degree,n40,t1,8,9,-2136281002,-2136218535,62467,2,26,2586
p2,B,S3,baseline,degree,n80,t2,12,16,-2134836947,-2134797286,39661,2,29,0
p2,B,S0,active,reach,n20,t0,8,8,-2137097270,-2137074424,22846,0,8,1677
p2,B,S1,active,degree,n80,t1,13,13,-2135676297,-2135589213,87084,1,44,5201
p2,B,S2,baseline,reach,n40,t1,12,13,-2135280569,-2135261461,19108,0,11,0
p2,B,S0,active,reach,n80,t1,21,21,-2136708026,-2136673665,34361,0,3,6680
p2,B,S3,baseline,degree,n40,t1,7,9,-2134910661,-2134886689,23972,0,10,0
p2,B,S1,active,degree,n20,t0,5,5,-2136407419,-2136364011,43408,2,13,2107
p2,B,S0,active,reach,n40,t2,15,15,-2136961103,-2136933860,27243,0,4,4770
