"Participant","Practice","Block","Trial","Task","Data","Samples","Question","Layout","Distractor","Ctrs","Ans","Vals","Track","Choices","Repetition","Planets","AnsTable","ValsTable","TrackTable","ChoicesTable"
0,"FALSE",1,1,"max","low",10,"interpretation","single",0,"LDC;COL;CHN;MYS;VEN;LBY;PSS;WSM;GMB;MLT","MLT","","","LDC;COL;CHN;MYS;VEN;LBY;PSS;WSM;GMB;MLT",1,"Tharce;Hivehom;Vega;Odym;Daxam;Sarip;Korurgar;Kalgan;Xanshi;Ark","MLT","","","GMB;PSS;COL;CHN;VEN;LDC;LBY;WSM;MYS;MLT"
0,"FALSE",1,2,"max","low",10,"interpretation","single",0,"DNK;JAM;CIV;TUR;LCA;SWE;PYF;GUM;LVA;BIH","SWE","","","DNK;JAM;CIV;TUR;LCA;SWE;PYF;GUM;LVA;BIH",2,"Kobold;Genizee;Exxor;Kaihapa;Miranda;Thurstone;Taur;Fluva;Bonde;Kreno","","","",""
0,"FALSE",1,3,"max","low",10,"interpretation","single",0,"MDV;BGD;ECS;GEO;LVA;TCD;SYR;LSO;CAN;CHI","CAN","","","MDV;BGD;ECS;GEO;LVA;TCD;SYR;LSO;CAN;CHI",3,"Calafia;Maltus;Deneb;Apiaton;Rigel;Argo;Hajor;Entem;Gaia;Tarnax","","","",""
0,"FALSE",1,4,"max","low",10,"interpretation","single",0,"PAK;IRQ;SST;MAR;HKG;CUB;HTI;WLD;HRV;RUS","HKG","","","PAK;IRQ;SST;MAR;HKG;CUB;HTI;WLD;HRV;RUS",4,"Bismoll;Beta;Habranha;Cirq;Cron;Tenebra;Tristram;Strontia;Zamaron;Baronn","","","",""
0,"FALSE",1,5,"max","low",10,"interpretation","single",0,"MLT;MLI;COG;LAO;GNB;OED;LCA;PAN;LVA;CYP","MLT","","","MLT;MLI;COG;LAO;GNB;OED;LCA;PAN;LVA;CYP",5,"Blasusarr;Orando;Myrg;Calafia;Glyptal;Debstam;Asquith;Tun;Serevan;Yaila","","","",""
0,"FALSE",1,6,"max","low",10,"interpretation","single",0,"ECU;SVK;PNG;OED;IRN;SEN;MYS;MNA;UMC;LUX","LUX","","","ECU;SVK;PNG;OED;IRN;SEN;MYS;MNA;UMC;LUX",6,"Bolovax;Deo;Rokanan;Colu;Horst;Sirius;Ysmault;Aurora;Tarnax;Centauri","","","",""
0,"FALSE",2,1,"min","low",10,"interpretation","single",0,"DJI;NLD;PRY;PAK;GAB;MDA;ARG;NGA;SWZ;SSD","SWZ","","","DJI;NLD;PRY;PAK;GAB;MDA;ARG;NGA;SWZ;SSD",1,"Odym;Tazenda;Bryak;Glyptal;Tarnax;Vega;Gaia;Titan;Vonn;Appelax","SWZ","","","DJI;MDA;SSD;SWZ;NLD;PAK;ARG;NGA;GAB;PRY"
0,"FALSE",2,2,"min","low",10,"interpretation","single",0,"SSD;MIC;GIN;AFG;MDV;HRV;MYS;UMC;KOR;SWE","SSD","","","SSD;MIC;GIN;AFG;MDV;HRV;MYS;UMC;KOR;SWE",2,"Shwar;Takron;Konom;Dhor;Ceres;Sayshell;Sarip;Hesperos;Kreno;Blasusarr","","","",""
0,"FALSE",2,3,"min","low",10,"interpretation","single",0,"UKR;JAM;OEC;MRT;CHN;HUN;CUB;IRL;CAF;FJI","CAF","","","UKR;JAM;OEC;MRT;CHN;HUN;CUB;IRL;CAF;FJI",3,"Radole;Galador;Quake;Kainui;Xanshi;Daffath;Werel;Arkanar;Dalarna;Korell","","","",""
0,"FALSE",2,4,"min","low",10,"interpretation","single",0,"MNE;MAR;CZE;ETH;NAM;NOC;CHL;EST;TJK;SVN","ETH","","","MNE;MAR;CZE;ETH;NAM;NOC;CHL;EST;TJK;SVN",4,"Erebus;Titan;Yaila;Deneb;Bolovax;Synnax;Maarin;Horlegor;Lemista;Zoon","","","",""
0,"FALSE",2,5,"min","low",10,"interpretation","single",0,"LAC;PRK;GHA;ZAF;TUN;MWI;LBY;UMC;SVN;ERI","MWI","","","LAC;PRK;GHA;ZAF;TUN;MWI;LBY;UMC;SVN;ERI",5,"Kutath;Kalgan;Kobold;Vormir;Argo;Maag;Erebus;Sarip;Kesuat;Alphanor","","","",""
0,"FALSE",2,6,"min","low",10,"interpretation","single",0,"LIC;PHL;SLV;CZE;SUR;GRC;AFG;MEX;CMR;STP","CMR","","","LIC;PHL;SLV;CZE;SUR;GRC;AFG;MEX;CMR;STP",6,"Derowd;Ifni;Tekton;Metaxas;Locris;Chandilar;Bizarro;Urras;Comagrave;Giganda","","","",""
0,"FALSE",3,1,"intersection","low",10,"interpretation","single",0,"FSM;AUT;LMC;GUY;VIR;KHM;SAU;DJI;RUS;SSD","DJI",75.3045122,"","FSM;AUT;LMC;GUY;VIR;KHM;SAU;DJI;RUS;SSD",1,"Toomey;Lystena;Calaton;Vulcan;Erebus;Hesperos;Mote Prime;Shokodo;Giganda;Formalhaut","DJI",58,"","VIR;RUS;SAU;SSD;FSM;LMC;AUT;KHM;GUY;DJI"
0,"FALSE",3,2,"intersection","low",10,"interpretation","single",0,"CPV;JPN;COD;ARG;NER;ARE;CUB;MMR;CIV;ECS","NER",57,"","CPV;JPN;COD;ARG;NER;ARE;CUB;MMR;CIV;ECS",2,"Lupra;Wobb;Tanith;Winath;Mardru;Ciress;Horst;Asquith;Gehenna;Strontia","","","",""
0,"FALSE",3,3,"intersection","low",10,"interpretation","single",0,"DEU;WSM;NLD;CHN;UMC;JPN;OEC;ETH;VCT;EAP","ETH",62,"","DEU;WSM;NLD;CHN;UMC;JPN;OEC;ETH;VCT;EAP",3,"Fluva;Kainui;Debstam;Pyrassis;Ovacron;Nexon;Alpeh;Santhenar;Madhya;Orando","","","",""
