"p","c","Loading data","Transform data","Visual Mapping creation","Visual mapping modification","Presentation mapping creation","Presentation mapping modification","Exploring the tool","Verifying the visualization","Ask for help","Help from the operator","Interuption","Selecting data","Manipulation Error","p_i","c_i","Loading data_i","Transform data_i","Visual Mapping creation_i","Visual mapping modification_i","Presentation mapping creation_i","Presentation mapping modification_i","Exploring the tool_i","Verifying the visualization_i","Ask for help_i","Help from the operator_i","Interuption_i","Selecting data_i","Manipulation Error_i"
"01","excel",69830,0,0,130045,0,9034,78716,23325,55486,129090,7471,4502,0,0,0,1,0,0,2,0,1,2,1,1,1,1,2,0
"01","tiles",227273,0,0,197545,0,101576,0,61235,0,16151,16003,0,0,0,0,12,0,0,10,0,14,0,2,0,1,2,0,0
"02","excel",114431,0,0,150082,0,50550,128433,0,0,0,9000,0,0,0,0,2,0,0,2,0,3,1,0,0,0,1,0,0
"02","tiles",73004,0,0,213091,0,51935,0,8500,0,0,8974,0,0,0,0,22,0,0,10,0,4,0,2,0,0,1,0,0
"03","excel",28600,0,0,105156,0,12088,59048,25177,0,0,25493,2385,0,0,0,1,0,0,3,0,1,4,1,0,0,2,1,0
"03","tiles",48862,0,0,142775,0,181810,0,46000,0,0,14449,0,0,0,0,16,0,0,3,0,6,0,1,0,0,1,0,0
"04","excel",51293,26300,0,132747,0,10932,94381,36034,0,0,14392,2149,0,0,0,1,1,0,3,0,1,2,1,0,0,2,1,0
"04","tiles",93927,0,0,137774,0,143953,0,23500,0,0,5006,0,0,0,0,16,0,0,8,0,5,0,1,0,0,1,0,0
"05","excel",100417,0,0,103693,0,2095,49062,24401,0,0,33291,3088,0,0,0,1,0,0,3,0,1,3,1,0,0,4,1,0
"05","tiles",118021,0,0,216647,0,120007,0,64118,0,0,11308,0,0,0,0,30,0,0,13,0,4,0,7,0,0,2,0,0
"06","excel",267250,0,0,224403,0,143240,0,80156,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0
"06","tiles",155447,0,0,106033,0,213921,0,79833,0,0,10867,0,0,0,0,10,0,0,7,0,11,0,3,0,0,2,0,0
"07","excel",81447,0,0,74134,0,49879,211460,0,0,0,0,5506,0,0,0,1,0,0,4,0,6,7,0,0,0,0,1,2
"07","tiles",202488,0,0,179556,0,137989,0,53375,0,0,12734,0,0,0,0,7,0,0,10,0,25,0,12,0,0,1,0,0
"08","excel",60200,0,0,15979,0,1735,109218,24699,0,0,65275,2248,0,0,0,1,0,0,9,0,4,6,1,0,0,2,1,2
"08","tiles",166007,0,0,169376,0,106771,0,14008,0,0,13362,0,0,0,0,11,0,0,10,0,14,0,3,0,0,2,0,0
"09","excel",66336,0,0,92308,0,10909,0,0,0,84893,0,0,8528,0,0,1,0,0,2,0,3,0,0,3,3,0,0,2
"09","tiles",92755,0,0,88265,0,207892,0,3465,0,0,0,0,0,0,0,9,0,0,11,0,15,0,1,0,0,0,0,0
"10","excel",59911,0,0,800,0,833,7567,24171,0,0,0,933,28658,0,0,2,0,0,1,0,1,1,2,0,0,0,1,4
"10","tiles",109563,163762,0,104445,0,291118,0,25752,0,0,23593,0,24706,0,0,9,1,0,9,0,10,0,6,0,0,3,0,2
"11","excel",109164,0,0,104565,0,7705,45598,18689,0,0,102636,5857,0,0,0,1,0,0,3,0,2,1,1,0,0,1,1,1
"11","tiles",177796,0,0,223704,0,371897,0,308329,0,0,60316,0,0,0,0,8,0,0,12,0,15,0,1,0,0,1,0,0
"12","excel",70996,0,0,44205,0,3640,58118,0,0,0,0,2199,0,0,0,1,0,0,3,0,2,2,0,0,0,0,1,0
"12","tiles",290161,167149,0,226368,0,184604,21156,3851,0,0,16676,0,0,0,0,10,2,0,10,0,15,2,1,0,0,1,0,0
"13","excel",77367,0,0,75183,0,153585,248865,33731,0,0,4500,6900,5667,0,0,1,0,0,9,0,15,11,2,0,0,1,3,6
"13","tiles",152133,0,0,74067,0,167818,0,43400,0,0,6500,0,0,0,0,14,0,0,14,0,13,2,2,0,0,1,0,0
"14","excel",91733,0,0,66768,0,0,38432,24934,5400,19451,63154,8000,6967,0,0,1,4,0,14,0,7,4,1,1,1,2,6,5
"14","tiles",91733,0,0,66768,0,0,38432,24934,5400,19451,63154,8000,6967,0,0,1,4,0,14,0,7,4,1,1,1,2,6,5
"15","excel",84729,0,0,103800,0,53483,77619,10019,0,0,24400,2200,0,0,0,1,0,0,3,0,5,5,1,0,0,1,3,0
"15","tiles",267902,0,0,184848,0,321919,0,471801,0,0,13933,0,0,0,0,13,0,0,14,0,20,0,12,0,0,1,0,0
"16","excel",157954,94401,0,57278,0,30,68362,18864,0,0,0,0,7256,0,0,2,3,0,8,0,5,10,1,0,0,0,5,4
"16","tiles",87940,0,0,78623,0,215826,0,175378,0,0,23567,0,0,0,0,16,0,0,10,0,17,0,7,0,0,2,0,0
"17","excel",93366,0,0,126533,0,18533,77558,25865,22375,84333,32599,0,0,0,0,4,0,0,3,0,8,8,1,2,1,2,1,2
"total","excel",1585024,120701,0,1607679,0,528271,1352437,370065,83261,317767,382211,45967,57076,0,0,23,8,0,74,0,67,67,16,7,6,19,28,28
"total","tiles",2355012,330911,0,2409885,0,2819036,59588,1407479,5400,35602,300442,8000,31673,0,0,204,7,0,165,0,195,8,62,1,2,23,6,7
