"Participant","Practice","Block","Trial","Task","Data","Samples","Question","Layout","Distractor","Ctrs","Ans","Vals","Track","Choices","Repetition","Planets","AnsTable","ValsTable","TrackTable","ChoicesTable"
0,"FALSE",1,1,"max","low",10,"interpretation","single",0,"WSM;VEN;LDC;PSS;CHN;LBY;GMB;MLT;MYS;COL","MLT","","","WSM;VEN;LDC;PSS;CHN;LBY;GMB;MLT;MYS;COL",1,"Hivehom;Ark;Korurgar;Tharce;Xanshi;Vega;Odym;Kalgan;Sarip;Daxam","MLT","","","GMB;PSS;COL;CHN;VEN;LDC;LBY;WSM;MYS;MLT"
0,"FALSE",1,2,"max","low",10,"interpretation","single",0,"LCA;TUR;BIH;JAM;CIV;PYF;GUM;DNK;SWE;LVA","SWE","","","LCA;TUR;BIH;JAM;CIV;PYF;GUM;DNK;SWE;LVA",2,"Miranda;Exxor;Kreno;Kaihapa;Genizee;Kobold;Taur;Fluva;Bonde;Thurstone","","","",""
0,"FALSE",1,3,"max","low",10,"interpretation","single",0,"BGD;LVA;MDV;CHI;SYR;ECS;GEO;CAN;TCD;LSO","CAN","","","BGD;LVA;MDV;CHI;SYR;ECS;GEO;CAN;TCD;LSO",3,"Rigel;Gaia;Argo;Hajor;Calafia;Maltus;Entem;Deneb;Apiaton;Tarnax","","","",""
0,"FALSE",1,4,"max","low",10,"interpretation","single",0,"CUB;HRV;MAR;HKG;PAK;SST;RUS;HTI;WLD;IRQ","HKG","","","CUB;HRV;MAR;HKG;PAK;SST;RUS;HTI;WLD;IRQ",4,"Cirq;Bismoll;Habranha;Baronn;Cron;Tenebra;Zamaron;Strontia;Tristram;Beta","","","",""
0,"FALSE",1,5,"max","low",10,"interpretation","single",0,"LCA;LVA;MLT;OED;CYP;LAO;MLI;GNB;COG;PAN","MLT","","","LCA;LVA;MLT;OED;CYP;LAO;MLI;GNB;COG;PAN",5,"Yaila;Myrg;Tun;Glyptal;Calafia;Asquith;Blasusarr;Debstam;Orando;Serevan","","","",""
0,"FALSE",1,6,"max","low",10,"interpretation","single",0,"ECU;PNG;UMC;IRN;MNA;SVK;LUX;OED;MYS;SEN","LUX","","","ECU;PNG;UMC;IRN;MNA;SVK;LUX;OED;MYS;SEN",6,"Centauri;Rokanan;Tarnax;Aurora;Colu;Sirius;Bolovax;Ysmault;Horst;Deo","","","",""
0,"FALSE",2,1,"min","low",10,"interpretation","single",0,"MDA;SWZ;SSD;NGA;PAK;GAB;PRY;DJI;ARG;NLD","SWZ","","","MDA;SWZ;SSD;NGA;PAK;GAB;PRY;DJI;ARG;NLD",1,"Tarnax;Glyptal;Vega;Appelax;Gaia;Bryak;Odym;Titan;Vonn;Tazenda","SWZ","","","DJI;MDA;SSD;SWZ;NLD;PAK;ARG;NGA;GAB;PRY"
0,"FALSE",2,2,"min","low",10,"interpretation","single",0,"KOR;MDV;SSD;SWE;GIN;MIC;MYS;UMC;AFG;HRV","SSD","","","KOR;MDV;SSD;SWE;GIN;MIC;MYS;UMC;AFG;HRV",2,"Shwar;Ceres;Sayshell;Kreno;Konom;Dhor;Blasusarr;Takron;Sarip;Hesperos","","","",""
0,"FALSE",2,3,"min","low",10,"interpretation","single",0,"OEC;UKR;IRL;MRT;CUB;HUN;CAF;JAM;CHN;FJI","CAF","","","OEC;UKR;IRL;MRT;CUB;HUN;CAF;JAM;CHN;FJI",3,"Xanshi;Korell;Arkanar;Radole;Quake;Kainui;Werel;Galador;Daffath;Dalarna","","","",""
0,"FALSE",2,4,"min","low",10,"interpretation","single",0,"SVN;CHL;ETH;CZE;NOC;EST;TJK;NAM;MNE;MAR","ETH","","","SVN;CHL;ETH;CZE;NOC;EST;TJK;NAM;MNE;MAR",4,"Maarin;Titan;Synnax;Horlegor;Lemista;Deneb;Bolovax;Yaila;Erebus;Zoon","","","",""
